Letters on letter1916.ie for the keyword: Casement
""
Letter Name,Link
"Telegram to John F. Sweetman, 28 July 1916",https://letters1916.ie/item/337
"Telegram from Sidney Parry to Gertrude Bannister, 29 August 1916",https://letters1916.ie/item/5470
"Telegram from Robert Monteith to Roger Casement, November 1915",https://letters1916.ie/item/5532
"Telegram from P.S. O' Hegarty to George Gavan Duffy, 18 April 1916",https://letters1916.ie/item/65
"Telegram from George Gavan Duffy to P.S. O' Hegarty, 18 April, 1916",https://letters1916.ie/item/66
"Telegram from Darrell Figgis to Mr Ryan, 10 December 1915",https://letters1916.ie/item/534
"Telegram from Brixton Prison to Gertrude Bannister, 20 May 1916",https://letters1916.ie/item/1291
"Postcard from St John Ervine to Thomas Nally, 14 Jan. 1916",https://letters1916.ie/item/860
"Postcard from Sir Roger Casement to Robert Monteith, 23 February 1916",https://letters1916.ie/item/828
"Picture Postcard from Roger Casement to Robert Monteith, 23 February 1916",https://letters1916.ie/item/1644
Letter from Sir Wilfrid Spender. 13 July 1916,https://letters1916.ie/item/762
"Letter from Sir Wilfrid Spender to his wife Lady Lillian Spender, 7 July 1916",https://letters1916.ie/item/756
"Letter from Sir Roger Casement, 9 April 1916",https://letters1916.ie/item/932
"Letter from Sir Roger Casement, 9 April 1916",https://letters1916.ie/item/1266
"Letter from Sir Roger Casement, 26 March 1916",https://letters1916.ie/item/1264
"Letter from Sir Roger Casement, 26 March 1916",https://letters1916.ie/item/1265
"Letter from Sir Roger Casement, 20 December 1915",https://letters1916.ie/item/1262
"Letter from Sir Roger Casement, 13 March 1916",https://letters1916.ie/item/1263
"Letter from Sir Roger Casement to Robert Monteith, 13 January 1916",https://letters1916.ie/item/827
"Letter from Sir Roger Casement to Robert Monteith, 11 January 1916",https://letters1916.ie/item/826
"Letter from Robert Monteith to Roger Casement, 24 March 1916",https://letters1916.ie/item/5537
"Letter from Robert Monteith to Roger Casement, 24 January 1916",https://letters1916.ie/item/5583
"Letter from Robert Monteith to Roger Casement, 21 November 1915",https://letters1916.ie/item/5531
"Letter from Robert Monteith to Roger Casement, 2 November 1915",https://letters1916.ie/item/5527
"Letter from Robert Monteith to Roger Casement, 18 March 1916",https://letters1916.ie/item/5535
"Letter from Robert Monteith to Roger Casement, 11 November 1915",https://letters1916.ie/item/5530
"Letter from Robert Monteith to Roger Casement, 11 November 1915",https://letters1916.ie/item/5580
"Letter from Robert Monteith to Roger Casement, 1 February 1916",https://letters1916.ie/item/5536
"Letter from Robert Monteith to Mollie Monteith, 30 November 1915",https://letters1916.ie/item/592
"Letter from Robert Monteith to Mollie Monteith, 25 December 1915",https://letters1916.ie/item/594
Letter from May Fay to James Finn 23 May 1916,https://letters1916.ie/item/5798
"Letter from Maurice Moore to Alice Stopford Green, 27 July 1916",https://letters1916.ie/item/307
"Letter from Maurice Moore and Agnes O'Farrelly regarding Roger Casement, 17 July 1916",https://letters1916.ie/item/306
"Letter from Mary O'Nolan to Alice Stopford Green, 25 July 1916",https://letters1916.ie/item/296
